Unnamed: 0,Unnamed: 0.1,488_only_foci,488_overlap_foci,488_total_foci,561_only_foci,561_overlap_foci,561_total_foci,cell,filename,flagged_oof,flagged_z,im_n_cells,im_raw_cells,image,stains,cell_line,parent,treatment,czi_id
16,16,3.0,0.0,3.0,2.0,0.0,2.0,2.0,LC3-p62_HEK_dFIP200_Torin_10Pos_3_AiryscanProcessing.czi,0.0,0.0,2.0,2.0,8.0,LC3-p62,dFIP200,HEK,Torin,3
17,17,5.0,0.0,5.0,1.0,0.0,1.0,1.0,LC3-p62_HEK_dFIP200_Torin_10Pos_3_AiryscanProcessing.czi,0.0,0.0,2.0,2.0,9.0,LC3-p62,dFIP200,HEK,Torin,3
18,18,6.0,0.0,6.0,0.0,0.0,0.0,2.0,LC3-p62_HEK_dFIP200_Torin_10Pos_3_AiryscanProcessing.czi,0.0,0.0,2.0,2.0,9.0,LC3-p62,dFIP200,HEK,Torin,3
19,19,4.0,0.0,4.0,1.0,0.0,1.0,1.0,LC3-p62_HEK_dFIP200_Torin_10Pos_3_AiryscanProcessing.czi,0.0,0.0,2.0,2.0,10.0,LC3-p62,dFIP200,HEK,Torin,3
20,20,3.0,1.0,4.0,0.0,1.0,1.0,2.0,LC3-p62_HEK_dFIP200_Torin_10Pos_3_AiryscanProcessing.czi,0.0,0.0,2.0,2.0,10.0,LC3-p62,dFIP200,HEK,Torin,3
0,0,3.0,15.0,18.0,30.0,15.0,45.0,1.0,LC3-p62_HEK_dVPS37A_Torin_10Pos_1_AiryscanProcessing.czi,0.0,0.0,1.0,1.0,1.0,LC3-p62,dVPS37A,HEK,Torin,1
1,1,8.0,37.0,45.0,24.0,34.0,58.0,1.0,LC3-p62_HEK_dVPS37A_Torin_10Pos_1_AiryscanProcessing.czi,0.0,0.0,2.0,2.0,2.0,LC3-p62,dVPS37A,HEK,Torin,1
2,2,12.0,37.0,49.0,11.0,38.0,49.0,2.0,LC3-p62_HEK_dVPS37A_Torin_10Pos_1_AiryscanProcessing.czi,0.0,0.0,2.0,2.0,2.0,LC3-p62,dVPS37A,HEK,Torin,1
3,3,13.0,37.0,50.0,36.0,39.0,75.0,1.0,LC3-p62_HEK_dVPS37A_Torin_10Pos_1_AiryscanProcessing.czi,0.0,0.0,1.0,1.0,3.0,LC3-p62,dVPS37A,HEK,Torin,1
4,4,31.0,24.0,55.0,21.0,24.0,45.0,1.0,LC3-p62_HEK_dVPS37A_Torin_10Pos_1_AiryscanProcessing.czi,0.0,0.0,1.0,1.0,4.0,LC3-p62,dVPS37A,HEK,Torin,1
5,5,19.0,40.0,59.0,14.0,42.0,56.0,1.0,LC3-p62_HEK_dVPS37A_Torin_10Pos_1_AiryscanProcessing.czi,0.0,0.0,2.0,2.0,5.0,LC3-p62,dVPS37A,HEK,Torin,1
6,6,3.0,15.0,18.0,7.0,15.0,22.0,2.0,LC3-p62_HEK_dVPS37A_Torin_10Pos_1_AiryscanProcessing.czi,0.0,0.0,2.0,2.0,5.0,LC3-p62,dVPS37A,HEK,Torin,1
7,7,27.0,53.0,80.0,36.0,52.0,88.0,1.0,LC3-p62_HEK_dVPS37A_Torin_10Pos_1_AiryscanProcessing.czi,0.0,0.0,1.0,1.0,6.0,LC3-p62,dVPS37A,HEK,Torin,1
8,8,7.0,35.0,42.0,24.0,38.0,62.0,1.0,LC3-p62_HEK_dVPS37A_Torin_10Pos_1_AiryscanProcessing.czi,0.0,0.0,5.0,5.0,7.0,LC3-p62,dVPS37A,HEK,Torin,1
9,9,9.0,14.0,23.0,12.0,15.0,27.0,2.0,LC3-p62_HEK_dVPS37A_Torin_10Pos_1_AiryscanProcessing.czi,0.0,0.0,5.0,5.0,7.0,LC3-p62,dVPS37A,HEK,Torin,1
10,10,2.0,2.0,4.0,4.0,2.0,6.0,3.0,LC3-p62_HEK_dVPS37A_Torin_10Pos_1_AiryscanProcessing.czi,0.0,0.0,5.0,5.0,7.0,LC3-p62,dVPS37A,HEK,Torin,1
11,11,7.0,37.0,44.0,15.0,34.0,49.0,4.0,LC3-p62_HEK_dVPS37A_Torin_10Pos_1_AiryscanProcessing.czi,0.0,0.0,5.0,5.0,7.0,LC3-p62,dVPS37A,HEK,Torin,1
12,12,17.0,26.0,43.0,9.0,25.0,34.0,5.0,LC3-p62_HEK_dVPS37A_Torin_10Pos_1_AiryscanProcessing.czi,0.0,0.0,5.0,5.0,7.0,LC3-p62,dVPS37A,HEK,Torin,1
13,13,12.0,28.0,40.0,17.0,27.0,44.0,1.0,LC3-p62_HEK_dVPS37A_Torin_10Pos_1_AiryscanProcessing.czi,0.0,0.0,2.0,2.0,8.0,LC3-p62,dVPS37A,HEK,Torin,1
14,14,17.0,47.0,64.0,40.0,49.0,89.0,2.0,LC3-p62_HEK_dVPS37A_Torin_10Pos_1_AiryscanProcessing.czi,0.0,0.0,2.0,2.0,8.0,LC3-p62,dVPS37A,HEK,Torin,1
15,15,4.0,12.0,16.0,11.0,11.0,22.0,1.0,LC3-p62_HEK_dVPS37A_Torin_10Pos_1_AiryscanProcessing.czi,0.0,0.0,1.0,1.0,9.0,LC3-p62,dVPS37A,HEK,Torin,1
16,16,14.0,20.0,34.0,17.0,20.0,37.0,1.0,LC3-p62_HEK_dVPS37A_Torin_10Pos_1_AiryscanProcessing.czi,0.0,0.0,1.0,1.0,10.0,LC3-p62,dVPS37A,HEK,Torin,1
0,0,3.0,13.0,16.0,7.0,13.0,20.0,1.0,LC3-p62_HEK_dVPS37A_No Torin_10Pos_2_AiryscanProcessing.czi,0.0,0.0,2.0,2.0,1.0,LC3-p62,dVPS37A,HEK,No Torin,2
1,1,5.0,10.0,15.0,9.0,11.0,20.0,2.0,LC3-p62_HEK_dVPS37A_No Torin_10Pos_2_AiryscanProcessing.czi,0.0,0.0,2.0,2.0,1.0,LC3-p62,dVPS37A,HEK,No Torin,2
2,2,24.0,0.0,24.0,0.0,0.0,0.0,1.0,LC3-p62_HEK_dVPS37A_No Torin_10Pos_2_AiryscanProcessing.czi,0.0,0.0,2.0,2.0,2.0,LC3-p62,dVPS37A,HEK,No Torin,2
3,3,26.0,0.0,26.0,1.0,0.0,1.0,2.0,LC3-p62_HEK_dVPS37A_No Torin_10Pos_2_AiryscanProcessing.czi,0.0,0.0,2.0,2.0,2.0,LC3-p62,dVPS37A,HEK,No Torin,2
4,4,9.0,20.0,29.0,11.0,20.0,31.0,1.0,LC3-p62_HEK_dVPS37A_No Torin_10Pos_2_AiryscanProcessing.czi,0.0,0.0,2.0,2.0,3.0,LC3-p62,dVPS37A,HEK,No Torin,2
5,5,21.0,12.0,33.0,8.0,12.0,20.0,2.0,LC3-p62_HEK_dVPS37A_No Torin_10Pos_2_AiryscanProcessing.czi,0.0,0.0,2.0,2.0,3.0,LC3-p62,dVPS37A,HEK,No Torin,2
6,6,20.0,24.0,44.0,7.0,22.0,29.0,1.0,LC3-p62_HEK_dVPS37A_No Torin_10Pos_2_AiryscanProcessing.czi,0.0,0.0,2.0,2.0,4.0,LC3-p62,dVPS37A,HEK,No Torin,2
7,7,11.0,38.0,49.0,10.0,39.0,49.0,2.0,LC3-p62_HEK_dVPS37A_No Torin_10Pos_2_AiryscanProcessing.czi,0.0,0.0,2.0,2.0,4.0,LC3-p62,dVPS37A,HEK,No Torin,2
8,8,59.0,77.0,136.0,40.0,76.0,116.0,1.0,LC3-p62_HEK_dVPS37A_No Torin_10Pos_2_AiryscanProcessing.czi,0.0,1.0,1.0,2.0,5.0,LC3-p62,dVPS37A,HEK,No Torin,2
9,9,10.0,5.0,15.0,4.0,5.0,9.0,1.0,LC3-p62_HEK_dVPS37A_No Torin_10Pos_2_AiryscanProcessing.czi,0.0,0.0,1.0,1.0,6.0,LC3-p62,dVPS37A,HEK,No Torin,2
10,10,5.0,2.0,7.0,26.0,2.0,28.0,1.0,LC3-p62_HEK_dVPS37A_No Torin_10Pos_2_AiryscanProcessing.czi,0.0,0.0,1.0,1.0,7.0,LC3-p62,dVPS37A,HEK,No Torin,2
11,11,31.0,13.0,44.0,47.0,17.0,64.0,1.0,LC3-p62_HEK_dVPS37A_No Torin_10Pos_2_AiryscanProcessing.czi,0.0,0.0,2.0,2.0,8.0,LC3-p62,dVPS37A,HEK,No Torin,2
12,12,32.0,3.0,35.0,56.0,3.0,59.0,2.0,LC3-p62_HEK_dVPS37A_No Torin_10Pos_2_AiryscanProcessing.czi,0.0,0.0,2.0,2.0,8.0,LC3-p62,dVPS37A,HEK,No Torin,2
13,13,21.0,10.0,31.0,5.0,11.0,16.0,1.0,LC3-p62_HEK_dVPS37A_No Torin_10Pos_2_AiryscanProcessing.czi,0.0,0.0,2.0,2.0,9.0,LC3-p62,dVPS37A,HEK,No Torin,2
14,14,26.0,18.0,44.0,7.0,17.0,24.0,2.0,LC3-p62_HEK_dVPS37A_No Torin_10Pos_2_AiryscanProcessing.czi,0.0,0.0,2.0,2.0,9.0,LC3-p62,dVPS37A,HEK,No Torin,2
15,15,18.0,15.0,33.0,17.0,16.0,33.0,1.0,LC3-p62_HEK_dVPS37A_No Torin_10Pos_2_AiryscanProcessing.czi,0.0,0.0,1.0,1.0,10.0,LC3-p62,dVPS37A,HEK,No Torin,2
0,0,11.0,3.0,14.0,0.0,3.0,3.0,1.0,LC3-p62_HEK_dVPS37A_No Torin_10Pos_1_AiryscanProcessing.czi,1.0,1.0,2.0,3.0,1.0,LC3-p62,dVPS37A,HEK,No Torin,1
1,1,24.0,5.0,29.0,1.0,4.0,5.0,2.0,LC3-p62_HEK_dVPS37A_No Torin_10Pos_1_AiryscanProcessing.czi,1.0,1.0,2.0,3.0,1.0,LC3-p62,dVPS37A,HEK,No Torin,1
2,2,15.0,27.0,42.0,24.0,27.0,51.0,1.0,LC3-p62_HEK_dVPS37A_No Torin_10Pos_1_AiryscanProcessing.czi,0.0,0.0,2.0,3.0,2.0,LC3-p62,dVPS37A,HEK,No Torin,1
3,3,26.0,34.0,60.0,18.0,33.0,51.0,2.0,LC3-p62_HEK_dVPS37A_No Torin_10Pos_1_AiryscanProcessing.czi,0.0,0.0,2.0,3.0,2.0,LC3-p62,dVPS37A,HEK,No Torin,1
4,4,7.0,8.0,15.0,5.0,10.0,15.0,1.0,LC3-p62_HEK_dVPS37A_No Torin_10Pos_1_AiryscanProcessing.czi,0.0,1.0,4.0,4.0,3.0,LC3-p62,dVPS37A,HEK,No Torin,1
5,5,9.0,29.0,38.0,7.0,28.0,35.0,2.0,LC3-p62_HEK_dVPS37A_No Torin_10Pos_1_AiryscanProcessing.czi,0.0,1.0,4.0,4.0,3.0,LC3-p62,dVPS37A,HEK,No Torin,1
6,6,6.0,17.0,23.0,8.0,15.0,23.0,3.0,LC3-p62_HEK_dVPS37A_No Torin_10Pos_1_AiryscanProcessing.czi,0.0,1.0,4.0,4.0,3.0,LC3-p62,dVPS37A,HEK,No Torin,1
7,7,6.0,17.0,23.0,8.0,15.0,23.0,4.0,LC3-p62_HEK_dVPS37A_No Torin_10Pos_1_AiryscanProcessing.czi,0.0,1.0,4.0,4.0,3.0,LC3-p62,dVPS37A,HEK,No Torin,1
8,8,12.0,25.0,37.0,28.0,26.0,54.0,1.0,LC3-p62_HEK_dVPS37A_No Torin_10Pos_1_AiryscanProcessing.czi,0.0,1.0,6.0,6.0,4.0,LC3-p62,dVPS37A,HEK,No Torin,1
9,9,15.0,34.0,49.0,18.0,34.0,52.0,2.0,LC3-p62_HEK_dVPS37A_No Torin_10Pos_1_AiryscanProcessing.czi,0.0,1.0,6.0,6.0,4.0,LC3-p62,dVPS37A,HEK,No Torin,1
10,10,8.0,15.0,23.0,15.0,15.0,30.0,3.0,LC3-p62_HEK_dVPS37A_No Torin_10Pos_1_AiryscanProcessing.czi,0.0,1.0,6.0,6.0,4.0,LC3-p62,dVPS37A,HEK,No Torin,1
11,11,11.0,11.0,22.0,5.0,11.0,16.0,4.0,LC3-p62_HEK_dVPS37A_No Torin_10Pos_1_AiryscanProcessing.czi,0.0,1.0,6.0,6.0,4.0,LC3-p62,dVPS37A,HEK,No Torin,1
12,12,14.0,34.0,48.0,12.0,33.0,45.0,5.0,LC3-p62_HEK_dVPS37A_No Torin_10Pos_1_AiryscanProcessing.czi,0.0,1.0,6.0,6.0,4.0,LC3-p62,dVPS37A,HEK,No Torin,1
13,13,39.0,47.0,86.0,56.0,47.0,103.0,6.0,LC3-p62_HEK_dVPS37A_No Torin_10Pos_1_AiryscanProcessing.czi,0.0,1.0,6.0,6.0,4.0,LC3-p62,dVPS37A,HEK,No Torin,1
14,14,3.0,28.0,31.0,17.0,28.0,45.0,1.0,LC3-p62_HEK_dVPS37A_No Torin_10Pos_1_AiryscanProcessing.czi,0.0,0.0,2.0,2.0,5.0,LC3-p62,dVPS37A,HEK,No Torin,1
15,15,10.0,24.0,34.0,13.0,23.0,36.0,2.0,LC3-p62_HEK_dVPS37A_No Torin_10Pos_1_AiryscanProcessing.czi,0.0,0.0,2.0,2.0,5.0,LC3-p62,dVPS37A,HEK,No Torin,1
16,16,8.0,19.0,27.0,9.0,20.0,29.0,1.0,LC3-p62_HEK_dVPS37A_No Torin_10Pos_1_AiryscanProcessing.czi,0.0,0.0,2.0,2.0,6.0,LC3-p62,dVPS37A,HEK,No Torin,1
17,17,3.0,28.0,31.0,16.0,29.0,45.0,2.0,LC3-p62_HEK_dVPS37A_No Torin_10Pos_1_AiryscanProcessing.czi,0.0,0.0,2.0,2.0,6.0,LC3-p62,dVPS37A,HEK,No Torin,1
18,18,8.0,10.0,18.0,4.0,9.0,13.0,1.0,LC3-p62_HEK_dVPS37A_No Torin_10Pos_1_AiryscanProcessing.czi,1.0,0.0,2.0,2.0,7.0,LC3-p62,dVPS37A,HEK,No Torin,1
19,19,32.0,13.0,45.0,6.0,14.0,20.0,2.0,LC3-p62_HEK_dVPS37A_No Torin_10Pos_1_AiryscanProcessing.czi,1.0,0.0,2.0,2.0,7.0,LC3-p62,dVPS37A,HEK,No Torin,1
20,20,18.0,7.0,25.0,4.0,7.0,11.0,1.0,LC3-p62_HEK_dVPS37A_No Torin_10Pos_1_AiryscanProcessing.czi,0.0,1.0,4.0,4.0,8.0,LC3-p62,dVPS37A,HEK,No Torin,1
21,21,33.0,6.0,39.0,8.0,6.0,14.0,2.0,LC3-p62_HEK_dVPS37A_No Torin_10Pos_1_AiryscanProcessing.czi,0.0,1.0,4.0,4.0,8.0,LC3-p62,dVPS37A,HEK,No Torin,1
22,22,16.0,10.0,26.0,4.0,11.0,15.0,3.0,LC3-p62_HEK_dVPS37A_No Torin_10Pos_1_AiryscanProcessing.czi,0.0,1.0,4.0,4.0,8.0,LC3-p62,dVPS37A,HEK,No Torin,1
23,23,39.0,6.0,45.0,23.0,6.0,29.0,4.0,LC3-p62_HEK_dVPS37A_No Torin_10Pos_1_AiryscanProcessing.czi,0.0,1.0,4.0,4.0,8.0,LC3-p62,dVPS37A,HEK,No Torin,1
24,24,11.0,31.0,42.0,19.0,31.0,50.0,1.0,LC3-p62_HEK_dVPS37A_No Torin_10Pos_1_AiryscanProcessing.czi,0.0,0.0,2.0,2.0,9.0,LC3-p62,dVPS37A,HEK,No Torin,1
25,25,11.0,15.0,26.0,6.0,18.0,24.0,2.0,LC3-p62_HEK_dVPS37A_No Torin_10Pos_1_AiryscanProcessing.czi,0.0,0.0,2.0,2.0,9.0,LC3-p62,dVPS37A,HEK,No Torin,1
26,26,2.0,2.0,4.0,3.0,1.0,4.0,1.0,LC3-p62_HEK_dVPS37A_No Torin_10Pos_1_AiryscanProcessing.czi,0.0,0.0,3.0,3.0,10.0,LC3-p62,dVPS37A,HEK,No Torin,1
27,27,15.0,9.0,24.0,1.0,9.0,10.0,2.0,LC3-p62_HEK_dVPS37A_No Torin_10Pos_1_AiryscanProcessing.czi,0.0,0.0,3.0,3.0,10.0,LC3-p62,dVPS37A,HEK,No Torin,1
28,28,48.0,23.0,71.0,5.0,25.0,30.0,3.0,LC3-p62_HEK_dVPS37A_No Torin_10Pos_1_AiryscanProcessing.czi,0.0,0.0,3.0,3.0,10.0,LC3-p62,dVPS37A,HEK,No Torin,1
0,0,8.0,1.0,9.0,2.0,1.0,3.0,1.0,LC3-p62_HEK_dFIP200_Torin_10Pos_4_AiryscanProcessing.czi,0.0,0.0,5.0,6.0,1.0,LC3-p62,dFIP200,HEK,Torin,4
1,1,4.0,0.0,4.0,5.0,0.0,5.0,2.0,LC3-p62_HEK_dFIP200_Torin_10Pos_4_AiryscanProcessing.czi,0.0,0.0,5.0,6.0,1.0,LC3-p62,dFIP200,HEK,Torin,4
2,2,5.0,0.0,5.0,0.0,0.0,0.0,3.0,LC3-p62_HEK_dFIP200_Torin_10Pos_4_AiryscanProcessing.czi,0.0,0.0,5.0,6.0,1.0,LC3-p62,dFIP200,HEK,Torin,4
3,3,8.0,0.0,8.0,0.0,0.0,0.0,4.0,LC3-p62_HEK_dFIP200_Torin_10Pos_4_AiryscanProcessing.czi,0.0,0.0,5.0,6.0,1.0,LC3-p62,dFIP200,HEK,Torin,4
4,4,5.0,1.0,6.0,1.0,1.0,2.0,5.0,LC3-p62_HEK_dFIP200_Torin_10Pos_4_AiryscanProcessing.czi,0.0,0.0,5.0,6.0,1.0,LC3-p62,dFIP200,HEK,Torin,4
5,5,7.0,0.0,7.0,0.0,0.0,0.0,1.0,LC3-p62_HEK_dFIP200_Torin_10Pos_4_AiryscanProcessing.czi,0.0,0.0,3.0,3.0,2.0,LC3-p62,dFIP200,HEK,Torin,4
6,6,3.0,0.0,3.0,5.0,0.0,5.0,2.0,LC3-p62_HEK_dFIP200_Torin_10Pos_4_AiryscanProcessing.czi,0.0,0.0,3.0,3.0,2.0,LC3-p62,dFIP200,HEK,Torin,4
7,7,2.0,0.0,2.0,6.0,0.0,6.0,3.0,LC3-p62_HEK_dFIP200_Torin_10Pos_4_AiryscanProcessing.czi,0.0,0.0,3.0,3.0,2.0,LC3-p62,dFIP200,HEK,Torin,4
8,8,3.0,0.0,3.0,0.0,0.0,0.0,1.0,LC3-p62_HEK_dFIP200_Torin_10Pos_4_AiryscanProcessing.czi,0.0,0.0,3.0,3.0,3.0,LC3-p62,dFIP200,HEK,Torin,4
9,9,5.0,0.0,5.0,1.0,0.0,1.0,2.0,LC3-p62_HEK_dFIP200_Torin_10Pos_4_AiryscanProcessing.czi,0.0,0.0,3.0,3.0,3.0,LC3-p62,dFIP200,HEK,Torin,4
10,10,7.0,0.0,7.0,0.0,0.0,0.0,3.0,LC3-p62_HEK_dFIP200_Torin_10Pos_4_AiryscanProcessing.czi,0.0,0.0,3.0,3.0,3.0,LC3-p62,dFIP200,HEK,Torin,4
11,11,1.0,0.0,1.0,1.0,0.0,1.0,1.0,LC3-p62_HEK_dFIP200_Torin_10Pos_4_AiryscanProcessing.czi,0.0,0.0,2.0,2.0,4.0,LC3-p62,dFIP200,HEK,Torin,4
12,12,4.0,0.0,4.0,0.0,0.0,0.0,2.0,LC3-p62_HEK_dFIP200_Torin_10Pos_4_AiryscanProcessing.czi,0.0,0.0,2.0,2.0,4.0,LC3-p62,dFIP200,HEK,Torin,4
13,13,8.0,0.0,8.0,4.0,0.0,4.0,1.0,LC3-p62_HEK_dFIP200_Torin_10Pos_4_AiryscanProcessing.czi,0.0,0.0,2.0,3.0,5.0,LC3-p62,dFIP200,HEK,Torin,4
14,14,4.0,1.0,5.0,4.0,2.0,6.0,2.0,LC3-p62_HEK_dFIP200_Torin_10Pos_4_AiryscanProcessing.czi,0.0,0.0,2.0,3.0,5.0,LC3-p62,dFIP200,HEK,Torin,4
15,15,3.0,0.0,3.0,1.0,0.0,1.0,1.0,LC3-p62_HEK_dFIP200_Torin_10Pos_4_AiryscanProcessing.czi,0.0,0.0,4.0,4.0,6.0,LC3-p62,dFIP200,HEK,Torin,4
16,16,6.0,0.0,6.0,2.0,0.0,2.0,2.0,LC3-p62_HEK_dFIP200_Torin_10Pos_4_AiryscanProcessing.czi,0.0,0.0,4.0,4.0,6.0,LC3-p62,dFIP200,HEK,Torin,4
17,17,11.0,0.0,11.0,0.0,0.0,0.0,3.0,LC3-p62_HEK_dFIP200_Torin_10Pos_4_AiryscanProcessing.czi,0.0,0.0,4.0,4.0,6.0,LC3-p62,dFIP200,HEK,Torin,4
18,18,8.0,0.0,8.0,0.0,0.0,0.0,4.0,LC3-p62_HEK_dFIP200_Torin_10Pos_4_AiryscanProcessing.czi,0.0,0.0,4.0,4.0,6.0,LC3-p62,dFIP200,HEK,Torin,4
19,19,2.0,0.0,2.0,0.0,0.0,0.0,1.0,LC3-p62_HEK_dFIP200_Torin_10Pos_4_AiryscanProcessing.czi,0.0,0.0,1.0,1.0,7.0,LC3-p62,dFIP200,HEK,Torin,4
20,20,8.0,0.0,8.0,1.0,0.0,1.0,1.0,LC3-p62_HEK_dFIP200_Torin_10Pos_4_AiryscanProcessing.czi,0.0,0.0,2.0,3.0,8.0,LC3-p62,dFIP200,HEK,Torin,4
21,21,5.0,0.0,5.0,3.0,0.0,3.0,2.0,LC3-p62_HEK_dFIP200_Torin_10Pos_4_AiryscanProcessing.czi,0.0,0.0,2.0,3.0,8.0,LC3-p62,dFIP200,HEK,Torin,4
22,22,10.0,0.0,10.0,0.0,0.0,0.0,1.0,LC3-p62_HEK_dFIP200_Torin_10Pos_4_AiryscanProcessing.czi,0.0,0.0,5.0,6.0,9.0,LC3-p62,dFIP200,HEK,Torin,4
23,23,6.0,0.0,6.0,0.0,0.0,0.0,2.0,LC3-p62_HEK_dFIP200_Torin_10Pos_4_AiryscanProcessing.czi,0.0,0.0,5.0,6.0,9.0,LC3-p62,dFIP200,HEK,Torin,4
24,24,12.0,0.0,12.0,0.0,0.0,0.0,3.0,LC3-p62_HEK_dFIP200_Torin_10Pos_4_AiryscanProcessing.czi,0.0,0.0,5.0,6.0,9.0,LC3-p62,dFIP200,HEK,Torin,4
25,25,3.0,0.0,3.0,2.0,0.0,2.0,4.0,LC3-p62_HEK_dFIP200_Torin_10Pos_4_AiryscanProcessing.czi,0.0,0.0,5.0,6.0,9.0,LC3-p62,dFIP200,HEK,Torin,4
26,26,4.0,1.0,5.0,3.0,1.0,4.0,5.0,LC3-p62_HEK_dFIP200_Torin_10Pos_4_AiryscanProcessing.czi,0.0,0.0,5.0,6.0,9.0,LC3-p62,dFIP200,HEK,Torin,4
27,27,7.0,0.0,7.0,0.0,0.0,0.0,1.0,LC3-p62_HEK_dFIP200_Torin_10Pos_4_AiryscanProcessing.czi,1.0,0.0,2.0,2.0,10.0,LC3-p62,dFIP200,HEK,Torin,4
28,28,5.0,1.0,6.0,1.0,1.0,2.0,2.0,LC3-p62_HEK_dFIP200_Torin_10Pos_4_AiryscanProcessing.czi,1.0,0.0,2.0,2.0,10.0,LC3-p62,dFIP200,HEK,Torin,4
0,0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,LC3-p62_HEK_dFIP200_No Torin_10Pos_4_AiryscanProcessing.czi,0.0,1.0,2.0,2.0,1.0,LC3-p62,dFIP200,HEK,No Torin,4
1,1,4.0,0.0,4.0,0.0,0.0,0.0,2.0,LC3-p62_HEK_dFIP200_No Torin_10Pos_4_AiryscanProcessing.czi,0.0,1.0,2.0,2.0,1.0,LC3-p62,dFIP200,HEK,No Torin,4
2,2,3.0,0.0,3.0,3.0,0.0,3.0,1.0,LC3-p62_HEK_dFIP200_No Torin_10Pos_4_AiryscanProcessing.czi,0.0,0.0,2.0,2.0,2.0,LC3-p62,dFIP200,HEK,No Torin,4
3,3,5.0,0.0,5.0,0.0,0.0,0.0,2.0,LC3-p62_HEK_dFIP200_No Torin_10Pos_4_AiryscanProcessing.czi,0.0,0.0,2.0,2.0,2.0,LC3-p62,dFIP200,HEK,No Torin,4
